"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2024","169.70","166.51","170.97","166.23","5.15M","2.01%"
"11/09/2024","166.35","166.24","166.73","162.23","4.26M","-0.38%"
"10/09/2024","166.98","167.45","167.73","164.25","3.47M","0.99%"
"09/09/2024","165.35","163.49","166.38","162.91","3.72M","2.56%"
"06/09/2024","161.23","164.51","166.04","160.59","3.95M","-1.60%"
"05/09/2024","163.85","164.77","166.00","162.51","3.14M","-1.51%"
"04/09/2024","166.36","163.50","166.62","163.40","4.11M","1.31%"
"03/09/2024","164.21","174.19","174.75","163.60","6.10M","-5.96%"
"30/08/2024","174.62","173.96","174.82","171.77","5.30M","0.60%"
"29/08/2024","173.58","172.62","175.97","172.49","4.26M","0.99%"
"28/08/2024","171.87","171.20","173.17","170.29","4.58M","0.51%"
"27/08/2024","170.99","170.70","171.50","169.60","3.21M","-0.13%"
"26/08/2024","171.22","170.54","171.93","169.58","3.71M","0.00%"
"23/08/2024","171.22","170.00","171.38","168.85","4.06M","0.91%"
"22/08/2024","169.68","171.74","171.98","168.77","3.00M","-0.89%"
"21/08/2024","171.20","170.10","172.19","169.85","4.10M","0.71%"
"20/08/2024","169.99","170.91","170.91","169.18","2.57M","-0.55%"
"19/08/2024","170.93","169.61","171.00","168.02","4.51M","0.89%"
"16/08/2024","169.42","170.05","170.33","168.86","3.31M","-0.31%"
"15/08/2024","169.94","168.75","170.75","168.22","4.16M","1.18%"
"14/08/2024","167.95","168.50","169.18","165.62","4.46M","-0.01%"
"13/08/2024","167.96","167.76","168.63","166.25","2.94M","0.65%"
"12/08/2024","166.87","167.63","168.78","164.62","3.17M","-0.16%"
"09/08/2024","167.13","165.45","167.88","164.57","2.77M","0.92%"
"08/08/2024","165.61","164.48","166.33","163.56","3.84M","2.15%"
"07/08/2024","162.13","164.42","166.27","161.57","4.31M","-0.09%"
"06/08/2024","162.27","159.93","165.45","159.76","5.06M","2.47%"
"05/08/2024","158.36","152.49","159.90","150.20","7.06M","-1.20%"
"02/08/2024","160.28","165.57","167.43","158.36","8.21M","-5.58%"
"01/08/2024","169.75","170.75","174.70","168.21","6.11M","-0.26%"
"31/07/2024","170.20","170.87","171.75","167.96","5.57M","1.62%"
"30/07/2024","167.48","170.48","174.73","167.27","5.33M","-1.41%"
"29/07/2024","169.87","171.25","172.73","168.40","4.89M","0.04%"
"26/07/2024","169.81","167.25","172.62","166.11","7.30M","3.12%"
"25/07/2024","164.67","163.30","168.20","161.92","8.79M","1.46%"
"24/07/2024","162.30","171.50","172.87","162.05","7.34M","-5.64%"
"23/07/2024","172.00","166.00","177.20","164.62","16.43M","5.68%"
"22/07/2024","162.76","159.97","162.94","159.77","6.35M","2.28%"
"19/07/2024","159.13","159.66","160.44","157.62","5.46M","0.21%"
"18/07/2024","158.79","157.37","160.44","156.42","5.27M","1.36%"
"17/07/2024","156.66","161.65","161.95","156.51","6.04M","-3.80%"
"16/07/2024","162.85","159.88","163.87","159.65","6.50M","2.06%"
"15/07/2024","159.56","160.60","160.75","158.60","5.38M","0.35%"
"12/07/2024","159.01","161.88","162.30","158.80","5.98M","-1.80%"
"11/07/2024","161.92","165.19","165.68","161.79","4.55M","-2.28%"
"10/07/2024","165.70","163.15","165.99","162.54","3.90M","1.58%"
"09/07/2024","163.13","163.98","165.58","163.03","3.83M","-0.24%"
"08/07/2024","163.53","160.80","163.78","160.65","3.45M","1.89%"
"05/07/2024","160.50","163.24","163.24","159.66","4.67M","-1.53%"
"03/07/2024","163.00","161.88","164.49","161.54","2.58M","0.96%"
"02/07/2024","161.45","158.82","162.94","158.25","5.25M","1.56%"
"01/07/2024","158.97","160.67","161.40","156.05","4.44M","0.00%"
