"Date","Price","Open","High","Low","Vol.","Change %"
"16/05/2024","141.21","142.60","144.54","140.51","28.40M","-1.67%"
"15/05/2024","143.62","138.00","143.90","137.00","32.76M","4.07%"
"14/05/2024","138.00","133.23","138.20","132.58","19.42M","3.18%"
"13/05/2024","133.75","134.80","135.84","133.01","18.51M","0.35%"
"10/05/2024","133.28","131.53","134.40","131.53","16.30M","2.08%"
"09/05/2024","130.57","131.78","132.16","130.20","12.17M","-1.49%"
"08/05/2024","132.54","129.35","133.79","128.85","13.92M","1.71%"
"07/05/2024","130.31","131.64","131.90","129.68","12.41M","-0.55%"
"06/05/2024","131.03","128.62","131.08","127.51","16.29M","2.52%"
"03/05/2024","127.81","125.90","128.39","124.71","24.90M","3.19%"
"02/05/2024","123.86","125.63","126.44","122.33","29.48M","-0.35%"
"01/05/2024","124.29","127.83","129.24","124.13","30.96M","-4.42%"
"30/04/2024","130.03","132.89","134.84","129.90","22.11M","-2.86%"
"29/04/2024","133.86","134.41","135.30","132.57","13.37M","-0.41%"
"26/04/2024","134.41","131.00","135.58","130.31","24.10M","3.84%"
"25/04/2024","129.44","127.25","130.80","125.70","30.41M","2.99%"
"24/04/2024","125.68","126.39","128.56","124.50","20.11M","0.61%"
"23/04/2024","124.92","122.82","125.79","122.80","22.03M","2.02%"
"22/04/2024","122.45","122.45","123.32","120.05","25.16M","1.64%"
"19/04/2024","120.47","125.90","126.00","119.76","44.80M","-4.31%"
"18/04/2024","125.90","128.80","129.26","125.55","24.89M","-1.84%"
"17/04/2024","128.26","134.31","134.70","128.14","24.72M","-3.49%"
"16/04/2024","132.91","131.54","133.63","131.10","18.92M","1.40%"
"15/04/2024","131.07","137.00","137.00","130.60","24.37M","-2.48%"
"12/04/2024","134.41","135.20","136.65","133.66","27.82M","-2.78%"
"11/04/2024","138.25","133.27","139.19","132.37","31.71M","4.54%"
"10/04/2024","132.24","132.30","133.57","131.55","17.47M","-0.88%"
"09/04/2024","133.41","135.74","135.95","130.86","18.01M","-0.15%"
"08/04/2024","133.61","133.37","134.25","131.58","17.14M","-0.25%"
"05/04/2024","133.94","132.60","136.12","131.42","19.44M","1.66%"
"04/04/2024","131.75","138.53","140.40","131.50","27.01M","-3.35%"
"03/04/2024","136.32","132.80","137.68","132.53","28.65M","1.83%"
"02/04/2024","133.88","131.58","134.24","130.34","24.69M","-0.85%"
"01/04/2024","135.03","132.57","136.30","132.54","17.25M","1.87%"
"28/03/2024","132.54","131.79","133.01","131.15","19.86M","0.51%"
"27/03/2024","131.87","135.00","135.00","129.60","25.58M","-0.96%"
"26/03/2024","133.15","136.47","137.99","133.05","23.52M","-1.49%"
"25/03/2024","135.16","134.50","135.84","133.75","21.24M","-0.14%"
"22/03/2024","135.35","135.00","137.62","134.62","38.62M","0.41%"
"21/03/2024","134.80","132.83","140.36","131.60","72.47M","5.64%"
